Ground Truth,Prediction,WER,CER
وولاد فرانسا هم الذين غزو الافلان وساندهم أناس أغبياء جهال من المجاهدين المشهورين. إذن أقوى لك كن الصواب 100% أن يدخل لافلان للمتحف، لأنك لا تعلم ولا تعرف إلى أي طريق أدى الافلان الجزاءر، لقد رضاها في أحضان فرنسا.,ولاد فرانسه ملدين غزول فلان وسطر سندهم اناس اخبياء وجه مجاهدين المشهورينه is an لكون صواب مائه في المائه ان يدخل لفلان لمتحفي لانك لا تعلم ولا تعرف الي اي طريق ادي لفلانه جزائره لقد رضاها في احداني فرنسا,0.7692307692307693,0.3333333333333333
Je crois vraiment que tu as la dalle Sayi samhoha kaml nghlto yak ❤😤😤😤😤😤,jogou o reimão caito ازلاد السي سمه كمال نجي اتش التي او يك خلب احمر نظره انتصار,1.2142857142857142,0.9444444444444444
من كفرا مسلم فقد كفر من قال لا إله إلا الله دخل الجنة هذا مو قولي انا هذا قول نبينا محمد صلى الله عليه وسلم اذا عندك عقل فكر ولا تتركه مرتاح,من كفر مسلم فقد كفر من قال لا اله الا اله دخل الجنه هذا مقارب وخول ان هذا قول نبينا محمدا صلي اله عليه وسلم اذا عندك وكيف تقلفت كروله تركوا مرتاح,0.46875,0.21428571428571427
دق الماني للترجمة الله على كنت فتى بريي اتمنى انك بقيت كذلك لكن المشكل ناس بسياراتهم يطوفون على الاقامة مثل كحجاج الجاهلية يصفقون يصفرون للات العزى لا اظن انهم لا يمتلكون وظايف اظنهم يمتلكون كلشي بما في ذلك الوظيفة المال حتى الزوجة,さっ قلمان لترجم اله علي كنت فتنا بري اتمني انك بقيتك لكن المشكله ناس بسياراتهم يطفون علي اليقامه مثل كحجاج الجاهليه يصفقون يصفرون لات العزنه لا اظن انهم لا يمتلكون وظيف اضنهم يمتلكون one كلشي ما في ذلك الوظيفه المال حتي الزوجه,0.5714285714285714,0.15151515151515152
مشكل البلاد و العباد ينتل بقرارات جديدة تكون في مصلحة المواطن وليس بوجوه جديدة و قرارات قديمة,المشكل البلادي والعباد ينتل بقرارات جديده تكون في مصلحه المواطن وليس بوجوه جديده وقرارات قديمه,0.5882352941176471,0.0967741935483871
دعواتكم لفلسطين وغزة💔🇵🇸💔🇵🇸💔🇵🇸 البقرة لوريا 🐄 ادعولي بنجاح 😹😹😹,داعوا تقوم لي فيلوست תינה ורזתק خلب مكسور علي ملاراضي الفلسطه قلب مكسور علي من اراضي الفلسطين فلسطينيه قلب مكسور علي من اراضي الفلسطينيه البقره لوريا بقره ندعولي بنجاح دموع الفرحي دموع الفرحي دموع الفرحي,3.6666666666666665,2.622950819672131
وجهك درك حتى للاكسيدون مايصلحش . مش التمثيل,وجه كادرك حتي لاكسدون ما يصلاحش misha في تام فيل,1.25,0.4186046511627907
جنوب افريقيا دولة متقدمة مشي من العالم الثالث يا خرا،تفو كلشي رديء في الجزائر !!!!!,جنوب افريقيا الدوله متقدمه مشي من العالم ثلث ياخري تفوك الشي رديء في الجزائر,0.4666666666666667,0.21686746987951808
كل يوم نستنا استقالته لكن مزالك برك تشرك في فمك حمار,كل يوم النستنست تقالته لكن مزالك برك تشرك في فمك حمار,0.18181818181818182,0.11538461538461539
لا آمل في الأصلاح ما دام عسكر فرنسا ماسك لزمام الأمور ، المجد والخلود للعرش العلوي المجيــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــد,لا املوا في الاصلح مادي مع اسب فرنسا ماسكن لزمام الامور المجدو الخلود لعرش العلويه المجيد,0.7647058823529411,0.591715976331361
